	Contig_name	Sample	Contig_length	ARG	Gene	Gene2	Fam	identity	coverage	start	end	Country	Technology	kraken2023	kaiju_nr_euk	kaiju_refseq	Diamond_nr	Class	Tax	Diamond_nr_genes	Integron	Platon_ID	Length	Coverage	X._ORFs	RDS	Circular	Inc_Type.s.	X._Replication	X._Mobilization	X._OriT	X._Conjugation	X._AMRs	X._rRNAs	X._Plasmid_Hits	SYNTENY	DIRECTION	CLADE_A	CLADE_B	LCA	Surface
225	CAR1_ita_n_f0c5d64e-aacf-475b-a3c8-bb5cffe0063c	CAR1_ita_n	8324	tet(Q)_1_L33696	tet(Q)	tet(Q)	Tetracycline	98.039	100.623.052.959.502	3357	5285	Italy	nanopore	Porphyromonas gingivicanis 	Bacteria	Bacteroidota	"k_Bacteria;n_FCB group;n_Bacteroidota/Chlorobiota group;p_Bacteroidota;c_Bacteroidia;o_Bacteroidales;f_Porphyromonadaceae;g_Porphyromonas"	"k_Bacteria;n_FCB group;n_Bacteroidota/Chlorobiota group;p_Bacteroidota;c_Bacteroidia;o_Bacteroidales;f_Porphyromonadaceae;g_Porphyromonas"	g	Genes: 11	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	carcass
226	CAR1_ita_n_f4fb8ce2-4643-49d9-8e5c-a37759c364e7	CAR1_ita_n	5721	mph(G)_1_AB571865	mph(G)	mph(G)	Macrolide	98.083	100.225.988.700.565	3964	4845	Italy	nanopore	Chryseobacterium 	Bacteria	Bacteria	"k_Bacteria;n_FCB group;n_Bacteroidota/Chlorobiota group;p_Bacteroidota"	"k_Bacteria;n_FCB group;n_Bacteroidota/Chlorobiota group;p_Bacteroidota"	p	Genes: 6	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	carcass
227	CAR1_ita_n_f7d9dc2b-133f-4df0-b725-7fe6a8c643cc	CAR1_ita_n	15843	mef(C)_1_AB571865	mef(C)	mef(C)	Macrolide	95.695	100.571.895.424.837	966	2171	Italy	nanopore	Amniculibacterium aquaticum 	Pedobacter puniceum	Bacteria	"k_Bacteria;n_FCB group;n_Bacteroidota/Chlorobiota group;p_Bacteroidota"	"k_Bacteria;n_FCB group;n_Bacteroidota/Chlorobiota group;p_Bacteroidota"	p	Genes: 20	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	carcass
228	CAR1_ita_n_f7d9dc2b-133f-4df0-b725-7fe6a8c643cc	CAR1_ita_n	15843	mph(G)_1_AB571865	mph(G)	mph(G)	Macrolide	94.625	10.090.395.480.226	90	961	Italy	nanopore	Amniculibacterium aquaticum 	Pedobacter puniceum	Bacteria	"k_Bacteria;n_FCB group;n_Bacteroidota/Chlorobiota group;p_Bacteroidota"	"k_Bacteria;n_FCB group;n_Bacteroidota/Chlorobiota group;p_Bacteroidota"	p	Genes: 20	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	carcass
229	CAR1_ita_n_fbf374e1-2221-5d2d-b25a-8e1b2511134b	CAR1_ita_n	3683	blaOXA-211_1_JN861779	blaOXA-211	blaOXA-211 like	Beta-lactam	98.065	100.242.424.242.424	2670	3493	Italy	nanopore	Acinetobacter johnsonii ANC 3681 	Acinetobacter	Acinetobacter johnsonii	"k_Bacteria;p_Pseudomonadota;c_Gammaproteobacteria;o_Moraxellales;f_Moraxellaceae;g_Acinetobacter"	"k_Bacteria;p_Pseudomonadota;c_Gammaproteobacteria;o_Moraxellales;f_Moraxellaceae;g_Acinetobacter"	g	Genes: 9	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	carcass
230	CAR1_ita_n_fd79ab37-612b-4683-b4d6-0c15c3a6a6c3	CAR1_ita_n	6229	tet(M)_8_X04388	tet(M)	tet(M)	Tetracycline	98.027	1.003.125	3656	5568	Italy	nanopore	Holdemania massiliensis AP2 	Lactobacillales	Enterococcus faecium	"k_Bacteria;n_Terrabacteria group;p_Bacillota"	"k_Bacteria;n_Terrabacteria group;p_Bacillota"	p	Genes: 9	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	carcass
231	CAR1_ita_n_fdf2e39f-2869-413e-a02f-9eb2188de894	CAR1_ita_n	4358	blaOXA-309_1_HF947514	blaOXA-309	blaOXA-211 like	Beta-lactam	91.446	100.606.060.606.061	2043	2856	Italy	nanopore	Acinetobacter johnsonii ANC 3681 	Acinetobacter	Acinetobacter	"k_Bacteria;p_Pseudomonadota;c_Gammaproteobacteria;o_Moraxellales;f_Moraxellaceae;g_Acinetobacter"	"k_Bacteria;p_Pseudomonadota;c_Gammaproteobacteria;o_Moraxellales;f_Moraxellaceae;g_Acinetobacter"	g	Genes: 11	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	carcass
232	CAR1_ita_n_fe48f2ec-0b33-47e2-8364-4131b0abd994	CAR1_ita_n	11688	tet(X)_2_M37699	tet(X)	tet(X) like	Tetracycline	97.377	101.285.347.043.702	2840	4019	Italy	nanopore	Chryseobacterium suipulveris 	Bacteria	Bacteria	k_Bacteria	k_Bacteria	k	Genes: 20	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	carcass
233	CAR2_ita_i_NODE_10261_length_1640_cov_4.183596	CAR2_ita_i	1640	tet(Q)_1_L33696	tet(Q)	tet(Q)	Tetracycline	99.573	851.505.711.318.795	1	1640	Italy	illumina	Bacteroidales 	Bacteroidota	Bacteroidota	"k_Bacteria;n_FCB group;n_Bacteroidota/Chlorobiota group;p_Bacteroidota;c_Bacteroidia;o_Bacteroidales"	"k_Bacteria;n_FCB group;n_Bacteroidota/Chlorobiota group;p_Bacteroidota;c_Bacteroidia;o_Bacteroidales"	o	Genes: 1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	carcass
234	CAR2_ita_i_NODE_10292_length_1637_cov_2.701643	CAR2_ita_i	1637	str_1_X92946	str	str	Aminoglycoside	99.647	100	117	965	Italy	illumina	Jeotgalibaca porci 	Bacteria	Enterococcus	"k_Bacteria;n_Terrabacteria group;p_Bacillota;c_Bacilli"	"k_Bacteria;n_Terrabacteria group;p_Bacillota;c_Bacilli"	c	Genes: 2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AB	A?B	c__Bacilli	s__Escherichia_coli	k__Bacteria	carcass
235	CAR2_ita_i_NODE_10752_length_1589_cov_9.616688	CAR2_ita_i	1589	tet(L)_2_M29725	tet(L)	tet(L)	Tetracycline	100	999.273.783.587.509	91	1466	Italy	illumina	Enterococcus villorum ATCC 700913 	Bacilli	Bacteria	"k_Bacteria;n_Terrabacteria group;p_Bacillota;c_Bacilli"	"k_Bacteria;n_Terrabacteria group;p_Bacillota;c_Bacilli"	c	Genes: 1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	carcass
236	CAR2_ita_i_NODE_17011_length_1170_cov_1.480717	CAR2_ita_i	1170	erm(B)_18_X66468	erm(B)	erm(B)	Macrolide, Lincosamide, Streptogramin B	98.82	100.131.233.595.801	399	1161	Italy	illumina	Peptoniphilus harei 	Lactobacillales	Enterococcus faecium	"k_Bacteria;n_Terrabacteria group;p_Bacillota;c_Bacilli;o_Lactobacillales"	"k_Bacteria;n_Terrabacteria group;p_Bacillota;c_Bacilli;o_Lactobacillales"	o	Genes: 1	-	CAR2_ita_i_NODE_17011_length_1170_cov_1.480717	1170	NA	1	1.9	no	0	0	0	0	0	1	0	1	-	-	-	-	-	carcass
237	CAR2_ita_i_NODE_17632_length_1143_cov_3.854779	CAR2_ita_i	1143	lnu(A)_1_M14039	lnu(A)	lnu(A)	Lincosamide	98.765	100	353	838	Italy	illumina	Agrilactobacillus yilanensis 	Bacteria	Bacilli	"k_Bacteria;n_Terrabacteria group;p_Bacillota;c_Bacilli;o_Bacillales;f_Staphylococcaceae;g_Macrococcus;s_Macrococcus caseolyticus"	"k_Bacteria;n_Terrabacteria group;p_Bacillota;c_Bacilli;o_Bacillales;f_Staphylococcaceae;g_Macrococcus;s_Macrococcus caseolyticus"	s	Genes: 2	-	CAR2_ita_i_NODE_17632_length_1143_cov_3.854779	1143	NA	1	1.9	no	0	0	0	0	0	1	0	0	-	-	-	-	-	carcass
238	CAR2_ita_i_NODE_2_length_500152_cov_36.201605	CAR2_ita_i	500152	mef(A)_1_AJ971089	mef(A)	mef(A)	Macrolide	92.099	997.536.945.812.808	175945	177159	Italy	illumina	Streptococcus suis BM407 	Streptococcus suis	Streptococcus suis	"k_Bacteria;n_Terrabacteria group;p_Bacillota;c_Bacilli;o_Lactobacillales;f_Streptococcaceae;g_Streptococcus;s_Streptococcus suis"	"k_Bacteria;n_Terrabacteria group;p_Bacillota;c_Bacilli;o_Lactobacillales;f_Streptococcaceae;g_Streptococcus;s_Streptococcus suis"	s	Genes: 481	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	carcass
239	CAR2_ita_i_NODE_2_length_500152_cov_36.201605	CAR2_ita_i	500152	msr(D)_2_AF274302	msr(D)	msr(D)	Macrolide, Streptogramin B	97.473	100	177285	178748	Italy	illumina	Streptococcus suis BM407 	Streptococcus suis	Streptococcus suis	"k_Bacteria;n_Terrabacteria group;p_Bacillota;c_Bacilli;o_Lactobacillales;f_Streptococcaceae;g_Streptococcus;s_Streptococcus suis"	"k_Bacteria;n_Terrabacteria group;p_Bacillota;c_Bacilli;o_Lactobacillales;f_Streptococcaceae;g_Streptococcus;s_Streptococcus suis"	s	Genes: 481	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	carcass
240	CAR2_ita_i_NODE_22354_length_985_cov_11.324731	CAR2_ita_i	985	sul2_2_AY034138	sul2	sul2	Folate pathway antagonist	100	100	87	902	Italy	illumina	Rothia endophytica 	Bacteria	root	"k_Bacteria;p_Pseudomonadota;c_Gammaproteobacteria"	"k_Bacteria;p_Pseudomonadota;c_Gammaproteobacteria"	c	Genes: 1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	carcass
241	CAR2_ita_i_NODE_2337_length_4449_cov_3.328402	CAR2_ita_i	4449	mph(E)_1_DQ839391	mph(E)	mph(E)	Macrolide	100	100	3324	4208	Italy	illumina	Acinetobacter modestus 	Klebsiella pneumoniae	Pseudomonadota	"k_Bacteria;p_Pseudomonadota;c_Gammaproteobacteria"	"k_Bacteria;p_Pseudomonadota;c_Gammaproteobacteria"	c	Genes: 4	-	CAR2_ita_i_NODE_2337_length_4449_cov_3.328402	4449	NA	4	1.4	no	0	1	0	0	0	2	0	0	-	-	-	-	-	carcass
242	CAR2_ita_i_NODE_2337_length_4449_cov_3.328402	CAR2_ita_i	4449	msr(E)_1_FR751518	msr(E)	msr(E)	Macrolide, Streptogramin B	100	100	1793	3268	Italy	illumina	Acinetobacter modestus 	Klebsiella pneumoniae	Pseudomonadota	"k_Bacteria;p_Pseudomonadota;c_Gammaproteobacteria"	"k_Bacteria;p_Pseudomonadota;c_Gammaproteobacteria"	c	Genes: 4	-	CAR2_ita_i_NODE_2337_length_4449_cov_3.328402	4449	NA	4	1.4	no	0	1	0	0	0	2	0	0	-	-	-	-	-	carcass
243	CAR2_ita_i_NODE_2795_length_3974_cov_4.358255	CAR2_ita_i	3974	blaBRO-2_1_Z54181	blaBRO-2	blaBRO	Beta-lactam	100	984.126.984.126.984	1	930	Italy	illumina	Moraxella catarrhalis 	Moraxella lacunata	Moraxella	"k_Bacteria;p_Pseudomonadota;c_Gammaproteobacteria;o_Moraxellales;f_Moraxellaceae;g_Moraxella"	"k_Bacteria;p_Pseudomonadota;c_Gammaproteobacteria;o_Moraxellales;f_Moraxellaceae;g_Moraxella"	g	Genes: 5	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	carcass
244	CAR2_ita_i_NODE_28834_length_840_cov_5.187261	CAR2_ita_i	840	cphA1_3_AY261378	cphA1	cphA like	Beta-lactam	96.64	816.993.464.052.288	216	840	Italy	illumina	Aeromonas sobria 	Aeromonas	Aeromonas	"k_Bacteria;p_Pseudomonadota;c_Gammaproteobacteria;o_Aeromonadales;f_Aeromonadaceae;g_Aeromonas"	"k_Bacteria;p_Pseudomonadota;c_Gammaproteobacteria;o_Aeromonadales;f_Aeromonadaceae;g_Aeromonas"	g	Genes: 1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	carcass
245	CAR2_ita_i_NODE_29971_length_820_cov_4.958170	CAR2_ita_i	820	ant(6)-Ia_2_KF421157	ant(6)-Ia	ant(6)-Ia	Aminoglycoside	99.873	913.194.444.444.444	32	820	Italy	illumina	Terrabacteria group 	Bacillota	Bacillota	"k_Bacteria;n_Terrabacteria group;p_Bacillota"	"k_Bacteria;n_Terrabacteria group;p_Bacillota"	p	Genes: 1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	carcass
246	CAR2_ita_i_NODE_33166_length_770_cov_5.509091	CAR2_ita_i	770	lnu(C)_1_AY928180	lnu(C)	lnu(C)	Lincosamide	99.192	100	190	684	Italy	illumina	Bacillota 	Victivallis vadensis	Bacteria	k_Bacteria	k_Bacteria	k	Genes: 1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	carcass
247	CAR2_ita_i_NODE_477_length_12945_cov_10.008534	CAR2_ita_i	12945	ampS_1_X80276	ampS	ampS	Beta-lactam	95.044	989.937.106.918.239	10254	11040	Italy	illumina	Aeromonas veronii 	Aeromonas	Aeromonas	"k_Bacteria;p_Pseudomonadota;c_Gammaproteobacteria;o_Aeromonadales;f_Aeromonadaceae;g_Aeromonas;s_Aeromonas veronii"	"k_Bacteria;p_Pseudomonadota;c_Gammaproteobacteria;o_Aeromonadales;f_Aeromonadaceae;g_Aeromonas;s_Aeromonas veronii"	s	Genes: 14	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	carcass
248	CAR2_ita_i_NODE_5079_length_2642_cov_17.819482	CAR2_ita_i	2642	blaOXA-333_1_KF203107	blaOXA-333	blaOXA-211 like	Beta-lactam	97.697	100	310	1134	Italy	illumina	Acinetobacter johnsonii ANC 3681 	Bacteria	Acinetobacter johnsonii	"k_Bacteria;p_Pseudomonadota;c_Gammaproteobacteria;o_Moraxellales;f_Moraxellaceae;g_Acinetobacter"	"k_Bacteria;p_Pseudomonadota;c_Gammaproteobacteria;o_Moraxellales;f_Moraxellaceae;g_Acinetobacter"	g	Genes: 4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	carcass
249	CAR2_ita_i_NODE_724_length_9618_cov_6.954617	CAR2_ita_i	9618	fosD_1_KC989517	fosD	fosD	Fosfomycin	89.762	100	4711	5130	Italy	illumina	Staphylococcus intermedius NCTC 11048 	Mammaliicoccus	Mammaliicoccus sciuri	"k_Bacteria;n_Terrabacteria group;p_Bacillota;c_Bacilli;o_Bacillales;f_Staphylococcaceae;g_Mammaliicoccus"	"k_Bacteria;n_Terrabacteria group;p_Bacillota;c_Bacilli;o_Bacillales;f_Staphylococcaceae;g_Mammaliicoccus"	g	Genes: 16	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	carcass
250	CAR2_ita_i_NODE_7327_length_2072_cov_14.138324	CAR2_ita_i	2072	tet(39)_1_KT346360	tet(39)	tet(39)	Tetracycline	100	100	885	2006	Italy	illumina	Acinetobacter 	Acinetobacter gerneri DSM 14967 = CIP 107464 = MTCC 9824	Gammaproteobacteria	"k_Bacteria;p_Pseudomonadota;c_Gammaproteobacteria;o_Moraxellales;f_Moraxellaceae;g_Acinetobacter"	"k_Bacteria;p_Pseudomonadota;c_Gammaproteobacteria;o_Moraxellales;f_Moraxellaceae;g_Acinetobacter"	g	Genes: 2	-	CAR2_ita_i_NODE_7327_length_2072_cov_14.138324	2072	NA	2	5.1	no	0	0	0	0	0	1	0	1	-	-	-	-	-	carcass
251	CAR2_ita_i_NODE_7577_length_2026_cov_9.056317	CAR2_ita_i	2026	lsa(E)_1_JX560992	lsa(E)	lsa(E)	Lincosamide, Streptogramin A, Pleuromutilin	99.494	931.313.131.313.131	644	2026	Italy	illumina	Tepidanaerobacter acetatoxydans Re1 	Bacteria	Bacillota	"k_Bacteria;n_Terrabacteria group;p_Bacillota;c_Bacilli;o_Lactobacillales"	"k_Bacteria;n_Terrabacteria group;p_Bacillota;c_Bacilli;o_Lactobacillales"	o	Genes: 2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	carcass
252	CAR2_ita_i_NODE_8450_length_1876_cov_3.029105	CAR2_ita_i	1876	ant(6)-Ia_3_KF864551	ant(6)-Ia	ant(6)-Ia	Aminoglycoside	99.885	100	342	1208	Italy	illumina	Vescimonas coprocola 	Bacteria	Bacteria	k_Bacteria	k_Bacteria	k	Genes: 4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	carcass
253	CAR2_ita_i_NODE_9478_length_1738_cov_7.759358	CAR2_ita_i	1738	ere(D)_1_KP265721	ere(D)	ere(D)	Macrolide	96.74	100	393	1619	Italy	illumina	Kaistella haifensis DSM 19056 	Bacteroidota	Weeksellaceae	k_Bacteria	k_Bacteria	k	Genes: 1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	carcass
254	CAR2_ita_i_NODE_9670_length_1714_cov_16.324292	CAR2_ita_i	1714	aph(3'')-Ib_5_AF321551	aph(3'')-Ib	aph(3'')-Ib	Aminoglycoside	100	100	33	836	Italy	illumina	Bacteria 	Gammaproteobacteria	Pseudomonadota	"k_Bacteria;p_Pseudomonadota;c_Gammaproteobacteria"	"k_Bacteria;p_Pseudomonadota;c_Gammaproteobacteria"	c	Genes: 2	-	CAR2_ita_i_NODE_9670_length_1714_cov_16.324292	1714	NA	2	26.4	no	0	0	0	0	0	2	0	1	-	-	-	-	-	carcass
255	CAR2_ita_i_NODE_9670_length_1714_cov_16.324292	CAR2_ita_i	1714	aph(6)-Id_1_M28829	aph(6)-Id	aph(6)-Id	Aminoglycoside	100	100	836	1672	Italy	illumina	Bacteria 	Gammaproteobacteria	Pseudomonadota	"k_Bacteria;p_Pseudomonadota;c_Gammaproteobacteria"	"k_Bacteria;p_Pseudomonadota;c_Gammaproteobacteria"	c	Genes: 2	-	CAR2_ita_i_NODE_9670_length_1714_cov_16.324292	1714	NA	2	26.4	no	0	0	0	0	0	2	0	1	-	-	-	-	-	carcass
256	CAR2_ita_n_23b08f95-926b-488d-8033-a78c94eb3529	CAR2_ita_n	6682	lnu(B)_2_JQ861959	lnu(B)	lnu(B)	Lincosamide	95.901	100.124.378.109.453	5763	6564	Italy	nanopore	Allofustis seminis DSM 15817 	Bacillota	Streptococcus suis	"k_Bacteria;n_Terrabacteria group;p_Bacillota;c_Bacilli"	"k_Bacteria;n_Terrabacteria group;p_Bacillota;c_Bacilli"	c	Genes: 14	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	carcass
257	CAR2_ita_n_23b08f95-926b-488d-8033-a78c94eb3529	CAR2_ita_n	6682	lsa(E)_1_JX560992	lsa(E)	lsa(E)	Lincosamide, Streptogramin A, Pleuromutilin	96.276	994.612.794.612.795	4229	5700	Italy	nanopore	Allofustis seminis DSM 15817 	Bacillota	Streptococcus suis	"k_Bacteria;n_Terrabacteria group;p_Bacillota;c_Bacilli"	"k_Bacteria;n_Terrabacteria group;p_Bacillota;c_Bacilli"	c	Genes: 14	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	carcass
258	CAR2_ita_n_37e5ed30-87ec-4597-9348-6a210663b822	CAR2_ita_n	10729	msr(E)_1_FR751518	msr(E)	msr(E)	Macrolide, Streptogramin B	96.451	954.607.046.070.461	1	1385	Italy	nanopore	Acinetobacter piscicola 	Acinetobacter	Acinetobacter	"k_Bacteria;p_Pseudomonadota;c_Gammaproteobacteria"	"k_Bacteria;p_Pseudomonadota;c_Gammaproteobacteria"	c	Genes: 13	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	carcass
259	CAR2_ita_n_7487af78-20c4-409d-82b7-5b5f4ea11ad7	CAR2_ita_n	9794	aph(3'')-Ib_2_AF024602	aph(3'')-Ib	aph(3'')-Ib	Aminoglycoside	98.519	100.746.268.656.716	8256	9065	Italy	nanopore	Acinetobacter towneri 	Acinetobacter lwoffii	Acinetobacter	"k_Bacteria;p_Pseudomonadota;c_Gammaproteobacteria"	"k_Bacteria;p_Pseudomonadota;c_Gammaproteobacteria"	c	Genes: 17	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	carcass
260	CAR2_ita_n_7487af78-20c4-409d-82b7-5b5f4ea11ad7	CAR2_ita_n	9794	aph(6)-Id_1_M28829	aph(6)-Id	aph(6)-Id	Aminoglycoside	98.634	874.551.971.326.165	9065	9794	Italy	nanopore	Acinetobacter towneri 	Acinetobacter lwoffii	Acinetobacter	"k_Bacteria;p_Pseudomonadota;c_Gammaproteobacteria"	"k_Bacteria;p_Pseudomonadota;c_Gammaproteobacteria"	c	Genes: 17	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	carcass
261	CAR2_ita_n_8cb6170d-635f-4d81-90c2-7e96635b2829	CAR2_ita_n	4173	mef(A)_1_AJ971089	mef(A)	mef(A)	Macrolide	87.251	10.303.776.683.087	2005	3243	Italy	nanopore	Streptococcus hyointestinalis 	Streptococcus	Streptococcus parasuis	"k_Bacteria;n_Terrabacteria group;p_Bacillota"	"k_Bacteria;n_Terrabacteria group;p_Bacillota"	p	Genes: 6	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	carcass
262	CAR2_ita_n_a02e8085-6ee1-4435-9f35-8fe9cfa3cc3b	CAR2_ita_n	8152	ant(6)-Ia_2_KF421157	ant(6)-Ia	ant(6)-Ia	Aminoglycoside	99.648	987.268.518.518.519	1203	2055	Italy	nanopore	Streptococcus porci DSM 23759 	Lactobacillales	Bacillota	"k_Bacteria;n_Terrabacteria group;p_Bacillota"	"k_Bacteria;n_Terrabacteria group;p_Bacillota"	p	Genes: 11	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	carcass
263	CAR2_ita_n_f6cd9005-ee9a-4151-a03a-03f5cae069a1	CAR2_ita_n	16811	lnu(B)_2_JQ861959	lnu(B)	lnu(B)	Lincosamide	96.064	101.119.402.985.075	12515	13316	Italy	nanopore	Streptococcus porci DSM 23759 	Streptococcus	Streptococcus acidominimus	"k_Bacteria;n_Terrabacteria group;p_Bacillota;c_Bacilli;o_Lactobacillales;f_Streptococcaceae;g_Streptococcus"	"k_Bacteria;n_Terrabacteria group;p_Bacillota;c_Bacilli;o_Lactobacillales;f_Streptococcaceae;g_Streptococcus"	g	Genes: 33	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	carcass
264	CAR2_ita_n_f6cd9005-ee9a-4151-a03a-03f5cae069a1	CAR2_ita_n	16811	lsa(E)_1_JX560992	lsa(E)	lsa(E)	Lincosamide, Streptogramin A, Pleuromutilin	95.933	101.010.101.010.101	10975	12456	Italy	nanopore	Streptococcus porci DSM 23759 	Streptococcus	Streptococcus acidominimus	"k_Bacteria;n_Terrabacteria group;p_Bacillota;c_Bacilli;o_Lactobacillales;f_Streptococcaceae;g_Streptococcus"	"k_Bacteria;n_Terrabacteria group;p_Bacillota;c_Bacilli;o_Lactobacillales;f_Streptococcaceae;g_Streptococcus"	g	Genes: 33	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	carcass
265	CAR3_ita_i_NODE_1_length_524825_cov_12.393203	CAR3_ita_i	524825	mef(A)_1_AJ971089	mef(A)	mef(A)	Macrolide	92.099	997.536.945.812.808	177289	178503	Italy	illumina	Streptococcus suis BM407 	Streptococcus suis	Streptococcus suis	"k_Bacteria;n_Terrabacteria group;p_Bacillota;c_Bacilli;o_Lactobacillales;f_Streptococcaceae;g_Streptococcus;s_Streptococcus suis"	"k_Bacteria;n_Terrabacteria group;p_Bacillota;c_Bacilli;o_Lactobacillales;f_Streptococcaceae;g_Streptococcus;s_Streptococcus suis"	s	Genes: 505	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	carcass
266	CAR3_ita_i_NODE_1_length_524825_cov_12.393203	CAR3_ita_i	524825	msr(D)_2_AF274302	msr(D)	msr(D)	Macrolide, Streptogramin B	97.473	100	178629	180092	Italy	illumina	Streptococcus suis BM407 	Streptococcus suis	Streptococcus suis	"k_Bacteria;n_Terrabacteria group;p_Bacillota;c_Bacilli;o_Lactobacillales;f_Streptococcaceae;g_Streptococcus;s_Streptococcus suis"	"k_Bacteria;n_Terrabacteria group;p_Bacillota;c_Bacilli;o_Lactobacillales;f_Streptococcaceae;g_Streptococcus;s_Streptococcus suis"	s	Genes: 505	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	carcass
267	CAR3_ita_i_NODE_1056_length_4224_cov_5.967378	CAR3_ita_i	4224	tet(T)_1_L42544	tet(T)	tet(T)	Tetracycline	98.62	100	770	2725	Italy	illumina	Anaerococcus faecalis 	Peptoniphilus ovalis	Streptococcus pyogenes	"k_Bacteria;n_Terrabacteria group;p_Bacillota"	"k_Bacteria;n_Terrabacteria group;p_Bacillota"	p	Genes: 5	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	carcass
268	CAR3_ita_i_NODE_1298_length_3599_cov_4.863431	CAR3_ita_i	3599	aph(3'')-Ib_5_AF321551	aph(3'')-Ib	aph(3'')-Ib	Aminoglycoside	100	100	997	1800	Italy	illumina	Rothia endophytica 	Gammaproteobacteria	Pseudomonadota	"k_Bacteria;p_Pseudomonadota;c_Gammaproteobacteria"	"k_Bacteria;p_Pseudomonadota;c_Gammaproteobacteria"	c	Genes: 5	-	CAR3_ita_i_NODE_1298_length_3599_cov_4.863431	3599	NA	4	16	no	0	0	0	0	0	3	0	1	-	-	-	-	-	carcass
269	CAR3_ita_i_NODE_1298_length_3599_cov_4.863431	CAR3_ita_i	3599	aph(6)-Id_1_M28829	aph(6)-Id	aph(6)-Id	Aminoglycoside	99.881	100	1800	2636	Italy	illumina	Rothia endophytica 	Gammaproteobacteria	Pseudomonadota	"k_Bacteria;p_Pseudomonadota;c_Gammaproteobacteria"	"k_Bacteria;p_Pseudomonadota;c_Gammaproteobacteria"	c	Genes: 5	-	CAR3_ita_i_NODE_1298_length_3599_cov_4.863431	3599	NA	4	16	no	0	0	0	0	0	3	0	1	-	-	-	-	-	carcass
270	CAR3_ita_i_NODE_1298_length_3599_cov_4.863431	CAR3_ita_i	3599	sul2_2_AY034138	sul2	sul2	Folate pathway antagonist	100	100	121	936	Italy	illumina	Rothia endophytica 	Gammaproteobacteria	Pseudomonadota	"k_Bacteria;p_Pseudomonadota;c_Gammaproteobacteria"	"k_Bacteria;p_Pseudomonadota;c_Gammaproteobacteria"	c	Genes: 5	-	CAR3_ita_i_NODE_1298_length_3599_cov_4.863431	3599	NA	4	16	no	0	0	0	0	0	3	0	1	-	-	-	-	-	carcass
271	CAR3_ita_i_NODE_170_length_18204_cov_9.407681	CAR3_ita_i	18204	tet(M)_4_X75073	tet(M)	tet(M)	Tetracycline	99.427	100	12294	14213	Italy	illumina	Aerococcus suis 	Enterococcus faecalis TX0109	Bacilli	"k_Bacteria;n_Terrabacteria group;p_Bacillota;c_Bacilli"	"k_Bacteria;n_Terrabacteria group;p_Bacillota;c_Bacilli"	c	Genes: 18	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	carcass
